COFRADIA	ESPECIE	MES	data	Año	DIAS TRABA	Nº PERSON	Lonja Kg	Importe	Precio Kg en €	CPUE
A CORUÑA	Saccharina lattissima	6	13/06/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	6	14/06/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	6	15/06/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	6	20/06/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	6	21/06/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	6	22/06/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	6	27/06/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	6	28/06/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	6	29/06/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	6	01/06/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	6	06/06/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	6	07/06/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	6	08/06/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	6	13/06/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	6	14/06/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	6	15/06/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	6	20/06/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	6	21/06/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	6	22/06/2022	2022	1	1	1,000.00	750	0.75	1000
A CORUÑA	Saccharina lattissima	6	27/06/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	6	28/06/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	6	29/06/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	6	01/06/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	6	06/06/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	6	07/06/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	6	08/06/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	6	13/06/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	6	14/06/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	6	15/06/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	6	20/06/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	6	21/06/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	6	22/06/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	6	27/06/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	6	28/06/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	6	29/06/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	6	01/06/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	6	06/06/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	6	07/06/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	6	08/06/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	6	13/06/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	6	14/06/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	6	20/06/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	6	21/06/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	6	22/06/2022	2022	1	1	310	310	1	310
A CORUÑA	Himanthalia elongata	6	22/06/2022	2022	1	1	450	450	1	450
A CORUÑA	Ulva spp.	6	22/06/2022	2022	1	1	240	360	1.5	240
A CORUÑA	Saccharina lattissima	6	27/06/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	6	28/06/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	6	29/06/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	7	04/07/2022	2022	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	7	05/07/2022	2022	1	1	1,000.00	600	0.6	1000
